"File","NonEmpty","Comment","Density"
"demo-service\src\main\java\com\demo\controller\user\UserMeController.java","82","24","29.27"
"demo-service\src\main\java\com\demo\logistics\DeliveryTrackerProvider.java","82","24","29.27"
"demo-service\src\main\java\com\demo\mq\consumer\InventoryUpdateConsumer.java","99","29","29.29"
"demo-pojo\src\main\java\com\demo\dto\base\PageQueryDTO.java","34","10","29.41"
"demo-common\src\main\java\com\demo\enumeration\ProductActionType.java","51","15","29.41"
"demo-service\src\main\java\com\demo\service\serviceimpl\OrderShipTimeoutTaskProcessor.java","171","51","29.82"
"demo-service\src\main\java\com\demo\mq\producer\OrderEventProducer.java","164","49","29.88"
"demo-pojo\src\main\java\com\demo\dto\admin\AdminAdjustCreditRequest.java","20","6","30"
"demo-service\src\main\java\com\demo\interceptor\JwtTokenAdminInterceptor.java","59","18","30.51"
"demo-pojo\src\main\java\com\demo\dto\review\ReviewCreateRequest.java","29","9","31.03"
"demo-service\src\main\java\com\demo\job\OrderRefundTaskJob.java","32","10","31.25"
"demo-pojo\src\main\java\com\demo\vo\order\SellerOrderSummary.java","32","10","31.25"
"demo-pojo\src\main\java\com\demo\dto\user\ProductUpdateRequest.java","22","7","31.82"
"demo-common\src\main\java\com\demo\result\PageResult.java","50","16","32"
"demo-common\src\main\java\com\demo\enumeration\CreditLevel.java","109","35","32.11"
"demo-pojo\src\main\java\com\demo\entity\Favorite.java","28","9","32.14"
"demo-service\src\main\java\com\demo\controller\admin\AdminTaskOpsController.java","201","65","32.34"
"demo-service\src\main\java\com\demo\logistics\LogisticsProviderFactory.java","92","30","32.61"
"demo-service\src\main\java\com\demo\job\OrderShipTimeoutTaskJob.java","33","11","33.33"
"demo-pojo\src\main\java\com\demo\dto\auth\EmailActivationRequest.java","12","4","33.33"
"demo-common\src\main\java\com\demo\exception\RegistrationException.java","9","3","33.33"
"demo-common\src\main\java\com\demo\exception\LoginFailedException.java","9","3","33.33"
"demo-common\src\main\java\com\demo\exception\PasswordEditFailedException.java","9","3","33.33"
"demo-pojo\src\main\java\com\demo\dto\aftersale\CreateAfterSaleRequest.java","24","8","33.33"
"demo-service\src\test\java\com\demo\PasswordEncodeTest.java","21","7","33.33"
"demo-pojo\src\main\java\com\demo\entity\UserWallet.java","21","7","33.33"
"demo-common\src\main\java\com\demo\json\MultiFormatLocalDateTimeDeserializer.java","76","26","34.21"
"demo-pojo\src\main\java\com\demo\dto\user\AddressDTO.java","52","18","34.62"
"demo-pojo\src\main\java\com\demo\dto\seller\SellerOrderCountDTO.java","26","9","34.62"
"demo-common\src\main\java\com\demo\properties\AliOssProperties.java","20","7","35"
"demo-pojo\src\main\java\com\demo\vo\order\BuyerOrderSummary.java","34","12","35.29"
"demo-service\src\main\java\com\demo\DemoApplication.java","17","6","35.29"
"demo-common\src\main\java\com\demo\enumeration\ReviewRole.java","42","15","35.71"
"demo-service\src\main\java\com\demo\job\OutboxMonitorJob.java","42","15","35.71"
"demo-pojo\src\main\java\com\demo\dto\admin\AdminOrderQueryDTO.java","28","10","35.71"
"demo-pojo\src\main\java\com\demo\dto\user\UserProductQueryDTO.java","14","5","35.71"
"demo-pojo\src\main\java\com\demo\dto\favorite\FavoriteActionResponse.java","14","5","35.71"
"demo-pojo\src\main\java\com\demo\dto\seller\SellerProductCountDTO.java","25","9","36"
"demo-service\src\main\java\com\demo\service\UserService.java","33","12","36.36"
"demo-service\src\main\java\com\demo\websocket\WebSocketServer.java","63","23","36.51"
"demo-pojo\src\main\java\com\demo\dto\user\ShipOrderRequest.java","38","14","36.84"
"demo-pojo\src\main\java\com\demo\dto\user\UserQueryDTO.java","27","10","37.04"
"demo-pojo\src\main\java\com\demo\dto\user\UserCreditDTO.java","16","6","37.5"
"demo-pojo\src\main\java\com\demo\dto\user\MarketProductQueryDTO.java","13","5","38.46"
"demo-pojo\src\main\java\com\demo\dto\statistics\OrderGmvStatsDTO.java","13","5","38.46"
"demo-pojo\src\main\java\com\demo\dto\mq\OrderEventType.java","23","9","39.13"
"demo-common\src\main\java\com\demo\properties\WeChatProperties.java","30","12","40"
"demo-pojo\src\main\java\com\demo\entity\Message.java","45","18","40"
"demo-common\src\main\java\com\demo\properties\JwtProperties.java","25","10","40"
"demo-pojo\src\main\java\com\demo\dto\user\CreateOrderResponse.java","20","8","40"
"demo-pojo\src\main\java\com\demo\vo\order\LogisticsTraceItemVO.java","15","6","40"
"demo-pojo\src\main\java\com\demo\entity\UserViolation.java","32","13","40.62"
"demo-pojo\src\main\java\com\demo\dto\user\MarketProductDetailDTO.java","27","11","40.74"
"demo-pojo\src\main\java\com\demo\dto\mq\OrderPaidPayload.java","22","9","40.91"
"demo-pojo\src\main\java\com\demo\entity\OrderItem.java","22","9","40.91"
"demo-pojo\src\main\java\com\demo\entity\Product.java","39","16","41.03"
"demo-pojo\src\main\java\com\demo\dto\user\ProductCreateRequest.java","34","14","41.18"
"demo-pojo\src\main\java\com\demo\dto\user\CreateOrderRequest.java","24","10","41.67"
"demo-pojo\src\main\java\com\demo\dto\user\ProductDTO.java","24","10","41.67"
"demo-pojo\src\main\java\com\demo\dto\statistics\ProductPublishCountDTO.java","12","5","41.67"
"demo-pojo\src\main\java\com\demo\dto\base\BanRequest.java","24","10","41.67"
"demo-pojo\src\main\java\com\demo\dto\user\MarketProductSummaryDTO.java","24","10","41.67"
"demo-pojo\src\main\java\com\demo\dto\user\UserCreditLogDTO.java","26","11","42.31"
"demo-pojo\src\main\java\com\demo\dto\user\ProductDetailDTO.java","33","14","42.42"
"demo-pojo\src\main\java\com\demo\dto\mq\OrderCreatedPayload.java","28","12","42.86"
"demo-pojo\src\main\java\com\demo\dto\admin\OrderFlagRequest.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\mq\OrderStatusChangedPayload.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\user\BindPhoneRequest.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\mq\OrderTimeoutPayload.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\admin\ViolationStatisticsDTO.java","14","6","42.86"
"demo-pojo\src\main\java\com\demo\dto\auth\AuthResponse.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\auth\SmsCodeRequest.java","14","6","42.86"
"demo-pojo\src\main\java\com\demo\dto\Violation\ViolationRecordDTO.java","42","18","42.86"
"demo-pojo\src\main\java\com\demo\entity\User.java","42","18","42.86"
"demo-pojo\src\main\java\com\demo\dto\Violation\ProductViolationDTO.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\user\BindEmailRequest.java","21","9","42.86"
"demo-common\src\main\java\com\demo\constant\PasswordConstant.java","7","3","42.86"
"demo-service\src\main\java\com\demo\config\GlobalStringTrimAdvice.java","21","9","42.86"
"demo-pojo\src\main\java\com\demo\dto\user\AvatarUploadConfigRequest.java","21","9","42.86"
"demo-common\src\main\java\com\demo\enumeration\OrderStatus.java","88","38","43.18"
"demo-pojo\src\main\java\com\demo\dto\Violation\ViolationReportRequest.java","23","10","43.48"
"demo-pojo\src\main\java\com\demo\dto\favorite\FavoriteItemDTO.java","23","10","43.48"
"demo-pojo\src\main\java\com\demo\dto\message\MessageDTO.java","23","10","43.48"
"demo-pojo\src\main\java\com\demo\dto\mq\EventMessage.java","23","10","43.48"
"demo-pojo\src\main\java\com\demo\vo\order\OrderDetail.java","64","28","43.75"
"demo-pojo\src\main\java\com\demo\dto\Violation\ViolationStatisticsResponseDTO.java","25","11","44"
"demo-pojo\src\main\java\com\demo\entity\WithdrawRequest.java","34","15","44.12"
"demo-pojo\src\main\java\com\demo\entity\Order.java","43","19","44.19"
"demo-pojo\src\main\java\com\demo\dto\admin\UserViolationDTO.java","27","12","44.44"
"demo-pojo\src\main\java\com\demo\dto\message\SendMessageRequest.java","27","12","44.44"
"demo-pojo\src\main\java\com\demo\entity\ProductViolation.java","27","12","44.44"
"demo-pojo\src\main\java\com\demo\dto\admin\AdminOrderDTO.java","38","17","44.74"
"demo-pojo\src\main\java\com\demo\entity\AfterSaleEvidence.java","29","13","44.83"
"demo-pojo\src\main\java\com\demo\dto\aftersale\SellerDecisionRequest.java","20","9","45"
"demo-pojo\src\main\java\com\demo\dto\aftersale\ArbitrateRequest.java","20","9","45"
"demo-pojo\src\main\java\com\demo\dto\review\ReviewItemDTO.java","31","14","45.16"
"demo-pojo\src\main\java\com\demo\entity\Review.java","46","21","45.65"
"demo-pojo\src\main\java\com\demo\vo\UserVO.java","35","16","45.71"
"demo-common\src\main\java\com\demo\constant\AutoFillConstant.java","13","6","46.15"
"demo-pojo\src\main\java\com\demo\dto\user\ConfirmReceiptRequest.java","15","7","46.67"
"demo-pojo\src\main\java\com\demo\vo\address\AddressVO.java","30","14","46.67"
"demo-pojo\src\main\java\com\demo\dto\user\CancelOrderRequest.java","15","7","46.67"
"demo-pojo\src\main\java\com\demo\dto\user\SellerSummaryDTO.java","30","14","46.67"
"demo-service\src\main\java\com\demo\mapper\UserBanMapper.java","19","9","47.37"
"demo-common\src\main\java\com\demo\enumeration\UserStatus.java","21","10","47.62"
"demo-pojo\src\main\java\com\demo\dto\user\UnbindContactRequest.java","25","12","48"
"demo-pojo\src\main\java\com\demo\entity\PointsLedger.java","33","16","48.48"
"demo-pojo\src\main\java\com\demo\entity\OrderFlag.java","33","16","48.48"
"demo-common\src\main\java\com\demo\exception\ProductNotFoundException.java","18","9","50"
"demo-common\src\main\java\com\demo\exception\ShoppingCartBusinessException.java","12","6","50"
"demo-common\src\main\java\com\demo\exception\OrderBusinessException.java","12","6","50"
"demo-pojo\src\main\java\com\demo\dto\user\PasswordLoginRequest.java","20","10","50"
"demo-service\src\main\java\com\demo\mapper\ProductViolationMapper.java","18","9","50"
"demo-common\src\main\java\com\demo\exception\AddressBookBusinessException.java","12","6","50"
"demo-service\src\main\java\com\demo\service\FavoriteService.java","32","16","50"
"demo-common\src\main\java\com\demo\constant\StatusConstant.java","10","5","50"
"demo-pojo\src\main\java\com\demo\entity\MqConsumeLog.java","24","12","50"
"demo-service\src\main\java\com\demo\mapper\OrderFlagMapper.java","18","9","50"
"demo-pojo\src\main\java\com\demo\dto\auth\ThirdPartyLoginRequest.java","23","12","52.17"
"demo-service\src\main\java\com\demo\mapper\PointsMapper.java","23","12","52.17"
"demo-pojo\src\main\java\com\demo\entity\AfterSale.java","44","23","52.27"
"demo-pojo\src\main\java\com\demo\entity\WalletTransaction.java","42","22","52.38"
"demo-common\src\main\java\com\demo\exception\DatabaseUpdateException.java","19","10","52.63"
"demo-common\src\main\java\com\demo\exception\UserNotLoginException.java","17","9","52.94"
"demo-service\src\main\java\com\demo\mapper\UserMapper.java","79","42","53.16"
"demo-pojo\src\main\java\com\demo\dto\payment\PaymentCallbackRequest.java","47","25","53.19"
"demo-common\src\main\java\com\demo\exception\DeletionNotAllowedException.java","13","7","53.85"
"demo-service\src\main\java\com\demo\repository\MessageRepository.java","24","13","54.17"
"demo-service\src\main\java\com\demo\service\SellerService.java","11","6","54.55"
"demo-common\src\main\java\com\demo\constant\CreditPolicyConstants.java","11","6","54.55"
"demo-service\src\main\java\com\demo\mapper\ViolationMapper.java","55","30","54.55"
"demo-service\src\main\java\com\demo\mapper\ReviewMapper.java","33","18","54.55"
"demo-service\src\main\java\com\demo\service\OutboxService.java","11","6","54.55"
"demo-service\src\main\java\com\demo\service\CreditService.java","22","12","54.55"
"demo-pojo\src\main\java\com\demo\dto\user\UpdateProfileRequest.java","31","17","54.84"
"demo-common\src\main\java\com\demo\context\BaseContext.java","29","16","55.17"
"demo-pojo\src\main\java\com\demo\vo\AvatarUploadConfigVO.java","27","15","55.56"
"demo-pojo\src\main\java\com\demo\entity\MessageOutbox.java","41","23","56.1"
"demo-pojo\src\main\java\com\demo\entity\OrderShipTimeoutTask.java","35","20","57.14"
"demo-service\src\main\java\com\demo\mapper\ProductMapper.java","84","48","57.14"
"demo-service\src\main\java\com\demo\mapper\AfterSaleMapper.java","52","30","57.69"
"demo-pojo\src\main\java\com\demo\dto\user\ChangePasswordRequest.java","26","15","57.69"
"demo-service\src\main\java\com\demo\service\AfterSaleService.java","26","15","57.69"
"demo-common\src\main\java\com\demo\constant\ProductReason.java","12","7","58.33"
"demo-service\src\main\java\com\demo\mapper\AddressMapper.java","46","27","58.7"
"demo-service\src\main\java\com\demo\mapper\OrderMapper.java","132","78","59.09"
"demo-pojo\src\main\java\com\demo\entity\OrderRefundTask.java","44","26","59.09"
"demo-service\src\main\java\com\demo\mapper\UserCreditLogMapper.java","25","15","60"
"demo-service\src\main\java\com\demo\service\AddressService.java","40","24","60"
"demo-service\src\main\java\com\demo\service\MessageService.java","25","15","60"
"demo-service\src\main\java\com\demo\service\WalletService.java","20","12","60"
"demo-service\src\main\java\com\demo\mapper\WalletMapper.java","48","29","60.42"
"demo-pojo\src\main\java\com\demo\dto\logistics\LogisticsTrackResult.java","28","17","60.71"
"demo-service\src\main\java\com\demo\mapper\OrderShipReminderTaskMapper.java","67","41","61.19"
"demo-service\src\main\java\com\demo\mapper\CreditStatMapper.java","35","22","62.86"
"demo-service\src\main\java\com\demo\service\ViolationService.java","35","22","62.86"
"demo-pojo\src\main\java\com\demo\entity\OrderShipReminderTask.java","54","34","62.96"
"demo-service\src\main\java\com\demo\service\PointsService.java","19","12","63.16"
"demo-service\src\main\java\com\demo\service\AuthService.java","33","21","63.64"
"demo-pojo\src\main\java\com\demo\dto\logistics\LogisticsTrackNode.java","25","16","64"
"demo-service\src\main\java\com\demo\service\port\FavoriteReadPort.java","14","9","64.29"
"demo-common\src\main\java\com\demo\enumeration\OperationType.java","14","9","64.29"
"demo-service\src\main\java\com\demo\mapper\OrderRefundTaskMapper.java","60","39","65"
"demo-common\src\main\java\com\demo\exception\BusinessException.java","20","13","65"
"demo-service\src\main\java\com\demo\config\LogisticsProperties.java","98","65","66.33"
"demo-service\src\main\java\com\demo\service\OrderTimeoutService.java","15","10","66.67"
"demo-pojo\src\main\java\com\demo\vo\order\OrderLogisticsVO.java","48","32","66.67"
"demo-service\src\main\java\com\demo\service\ProductService.java","78","52","66.67"
"demo-service\src\main\java\com\demo\mapper\MqConsumeLogMapper.java","37","25","67.57"
"demo-service\src\main\java\com\demo\service\ReviewService.java","31","21","67.74"
"demo-service\src\main\java\com\demo\service\OrderRefundAccountingService.java","19","13","68.42"
"demo-service\src\main\java\com\demo\service\StatisticsService.java","26","18","69.23"
"demo-common\src\main\java\com\demo\constant\JwtClaimsConstant.java","26","18","69.23"
"demo-service\src\main\java\com\demo\service\OrderShipTimeoutPenaltyService.java","17","12","70.59"
"demo-common\src\main\java\com\demo\constant\ReviewConstants.java","35","25","71.43"
"demo-service\src\main\java\com\demo\mapper\OrderShipTimeoutTaskMapper.java","74","53","71.62"
"demo-service\src\main\java\com\demo\service\SensitiveWordService.java","18","13","72.22"
"demo-service\src\main\java\com\demo\service\OrderNoticeService.java","29","21","72.41"
"demo-service\src\main\java\com\demo\service\LogisticsService.java","19","14","73.68"
"demo-service\src\main\java\com\demo\mapper\MessageOutboxMapper.java","71","54","76.06"
"demo-service\src\main\java\com\demo\service\OrderRefundTaskService.java","17","13","76.47"
"demo-service\src\main\java\com\demo\logistics\LogisticsProvider.java","30","23","76.67"
"demo-service\src\main\java\com\demo\service\OrderShipReminderTaskService.java","26","20","76.92"
"demo-service\src\main\java\com\demo\service\OrderShipTimeoutService.java","18","14","77.78"
"demo-common\src\main\java\com\demo\constant\CreditConstants.java","62","51","82.26"
